numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;numCinema;geolocalisation;;;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;;;;;AE;categorieAE;labelAE;;;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude
19491;MEGA CGR;30 RUE SAINT- ROCH;RAYCHAMOND;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;19491;45.650367, 0.164018;;;16015;Angoulême;42081;16;16601;Angoulême;109054;04-Unités urbaines de 100 000 hbts ou plus;;;;;NON;NON;;;;C;177;131;116;61,7732944;28,05946376;3,636846297;6,53039554;51;62,38385984;45.650367;0.164018
19507;CGR EPERON ANGOULEME;30 RUE SAINT-ROCH;RAYCHAMOND;;FIXE;NON;19507;45.650091, 0.162338;;;16015;Angoulême;42081;16;16601;Angoulême;109054;04-Unités urbaines de 100 000 hbts ou plus;;;;;NON;NON;;;;C;14;9;6;30,21281537;57,88492568;9,46453892;2,437720027;1;12,74936437;45.650091;0.162338
38772;LE CLUB;32 BD CHANZY;LES BONIMENTEURS;SNC SAGEC - CINE 32 VEO;FIXE;NON;38772;45.471503, -0.152462;;;16028;Barbezieux-Saint-Hilaire;4687;16;16107;Barbezieux-Saint-Hilaire;4687;06-autres communes et unités urbaines;;;;;OUI;E;RDJP;;;I;149;97;17;41,96510906;42,89666334;10,44658148;4,691646122;69;37,06456894;45.471503;-0.152462
25722;CIRCUIT 1;PLACE DE L'EGLISE;AGENCE POUR DEVELOPPEMENT ACTIVITES TOURISTIQUES ET CULTURELLES;;ITINERANT;NON;25722;48.083036, 1.87847;;;45008;Artenay;1832;45;0;Zone rurale;14541106;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;E;JPPR;;;R;51;29;0;64,4610903;19,95422389;9,800249688;5,784436122;25;60,42446941;48.083036;1.87847
23102;LE JAURES;RUE JEAN JAURES;CINEMAGINAIRE;CINEMAGINAIRE;FIXE;NON;23102;42.547269, 3.023455;;;66008;Argelès-sur-Mer;10383;66;66401;Saint-Cyprien;53068;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;;;;C;116;82;14;21,79397337;76,31394534;0;1,892081289;55;100;42.547269;3.023455
84556;Clap Ciné;COLLINE DES LOISIRS;L'YRE CANET;;FIXE;NON;84556;42.701936, 3.019408;;;66037;Canet-en-Roussillon;11965;66;66301;Canet-en-Roussillon;11965;06-autres communes et unités urbaines;;;;;NON;NON;;;;I;156;106;56;62,37824675;34,375;2,637987013;0,608766234;70;24,83766234;42.701936;3.019408
68046;MEGA CGR;ZAC DU PRADO;SOCIETE CINEMATOGRAPHIQUE DU BERRY;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;68046;47.082905, 2.387262;;;18033;Bourges;66071;18;18501;Bourges;82558;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;NON;NON;;;;C;165;119;117;81,23158515;16,543901;2,224513848;0;33;20,25633471;47.082905;2.387262
25038;LE CASINO;3 RUE EMILE LEGRELLE;LECA;;ITINERANT;NON;25038;50.290037, 2.776981;;;62041;Arras;40721;62;62502;Arras;86845;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;NON;NON;;;;C;1;1;0;70,83737472;18,13773036;9,666989977;1,357904947;0;64,66214032;50.290037;2.776981
29144;CINE THEATRE LOUIS ARAGON;61 BIS RUE JEAN JAURES;COMMUNE D'AUCHEL;ENT. REG. CIN. NORD PAS DE CALAIS;FIXE;NON;29144;50.506306, 2.472945;;;62048;Auchel;10574;62;752;Béthune;355543;04-Unités urbaines de 100 000 hbts ou plus;;;;;NON;NON;;;;B;51;40;0;62,97289462;23,90926221;5,826931439;7,290911726;13;34,59196985;50.506306;2.472945
25571;UNION;3, RUE DU MOULIN;UNION ARS SUR MOSELLE;;FIXE;NON;25571;49.076026, 6.07804;;;57032;Ars-sur-Moselle;4720;57;57701;Metz;285268;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;C;;;;B;42;29;1;59,60064183;28,82866821;4,261009093;7,30968087;17;61,13389196;49.076026;6.07804
92542;ESPACE GRÜN;32 RUE GEORGES RISLER;ESPACE GRUN;;FIXE;NON;92542;47.806567, 7.173935;;;68063;Cernay;11608;68;68402;Thann - Cernay;31817;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;;;;C;105;85;31;100;0;0;0;47;100;47.806567;7.173935
30164;THEATRE ET CINEMA JACQUES PREVERT;134 RUE ANATOLE FRANCE;INSTITUT AULNAYSIEN DE DEVELOPPEMENT CULTUREL;SARL GPCI;FIXE;NON;30164;48.940586, 2.496291;;;93005;Aulnay-sous-Bois;83584;93;851;Paris;10706072;02-Grande Couronne;;;;;OUI;C;JP;;;B;133;95;0;67,49814952;17,47594375;10,6957809;4,330125833;67;73,48630644;48.940586;2.496291
30184;UGC CINE CITE O'PARINOR;LE HAUT DE GALY;UGC CINE CITE;UGC DIFFUSION;FIXE;OUI;30184;48.960325, 2.473606;;;93005;Aulnay-sous-Bois;83584;93;851;Paris;10706072;02-Grande Couronne;;;;;NON;NON;;;;B;228;104;103;35,95885563;55,80283418;5,524449128;2,713861059;73;9,740331231;48.960325;2.473606
