numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune
346622;CINEMA THEATRE;BOULEVARD DU GENERAL LECLERC;CINEODE;SARL CINEODE;FIXE;NON;49.69929, 2.790104;Hauts-de-France;80;80685
347831;LE FOYER;4 RUE DES TOURNELLES;ASSOCIATION D' EDUCATION POPULAIRE CINEMA LE FOYER;SARL MC4 DISTRIBUTION;FIXE;NON;44.453436, 4.339659;Auvergne - Rhône-Alpes;7;7201
348296;LE GRAND PALACE;BD DE L ILE VERTIME;LE PALACE DES SABLES D'OLONNE;;FIXE;NON;46.501653, -1.786349;Pays de la Loire;85;85194
348314;CTRE CULTUREL JOEL LE THEULE;16 RUE SAINT DENIS;ASSOCIATION ENTRACTE;;FIXE;NON;47.839188, -0.3382865999999467;Pays de la Loire;72;72264
350414;CINE MONT BLANC;AVENUE DE GENEVE;CINE MONT BLANC;SAS CINE MONTBLANC (Baud);FIXE;OUI;45.944805, 6.630005;Auvergne - Rhône-Alpes;74;74256
350542;LE CONCORDE;SERRE CHEVALIER;SOCIETE DES CINEMAS DE LA GUISANE;SAS AGORA CINEMAS;FIXE;NON;44.915761, 6.542422;Provence-Alpes-Côte-d'Azur;5;5161
351052;ARCADES;6 PLACE GAMBETTA;CINE SPECTACLES;SARL MC4 DISTRIBUTION;FIXE;NON;43.637886, 5.099752;Provence-Alpes-Côte-d'Azur;13;13103
352610;PATHE SARAN;1010 RUE NATIONALE;MARTROI;LES CINEMAS GAUMONT PATHE;FIXE;OUI;47.94652, 1.895679;Centre - Val-de-Loire;45;45302
357751;REX;5 PLACE DE LA 2EME DB;SEES DU CINE;GENERIQUE;FIXE;NON;48.607433, 0.170941;Normandie;61;61464
358561;LE STUDIO;PLACE CHARLES DE GAULLE;CINEMA STUDIO DE SELLES SUR CHER;CVL;FIXE;NON;47.274507, 1.55439;Centre - Val-de-Loire;41;41242
364961;SALLE COMMUNALE;SALLE COMMUNALE;LE CINEMA DU SOLEIL;SNC SAGEC - CINE 32 VEO;ITINERANT;NON;43.19314, 6.005894;Provence-Alpes-Côte-d'Azur;83;83131
367052;OCEANIC;68 RUE DE LA PLAGE;ARTS ET TECHNIQUES;ARTEC;FIXE;NON;45.51424, -1.123506;Nouvelle Aquitaine;33;33514
367453;LA SALINE;PLACE DU GÉNÉRAL DE GAULLE;COMMUNE DE SOULTZ SOUS FORETS;;FIXE;NON;48.935358, 7.883424;Grand-Est;67;67474
368801;LE STAR;27/31 RUE DU JEU DES ENFANTS;LE CINEMATOGRAPHE;;FIXE;NON;48.583754, 7.742752;Grand-Est;67;67482
370073;ESPACE JEAN-MARIE POIRIER;ESPLANADE DU 18 JUIN 1940;VILLE DE SUCY EN BRIE;SARL GPCI;FIXE;NON;48.772452, 2.512597;Ile-de-France;94;94071
370483;LE PALACE;RUE DES TROIS  FRERES NADEAU;ESPACE CULTUREL LE PALACE;SAINT LOUIS;FIXE;NON;46.108206, -0.750249;Nouvelle Aquitaine;17;17434
371131;LE MODERNE;1 BOULEVARD CARNOT;ECRANS SPECTACLES SUD AVEYRON;SNC SAGEC - CINE 32 VEO;FIXE;NON;43.955721, 2.884014;Occitanie;12;12208
374903;JOACASINO;128 RUE PASTEUR;SOCIETE NORMANDE D EXPLOITATION INDUSTRIELLE ET COMMERCIALE;SARL GPCI;FIXE;NON;49.329525, -0.385911;Normandie;14;14562
376802;SALLE ST LOUIS  CENTRAL;RUE DE LA TRESORERIE;SAINT JEAN ASSOCIATION;;FIXE;NON;44.682199, 6.075234;Provence-Alpes-Côte-d'Azur;5;5132
377083;CINEJADE;PARC ACTIVITES  DE LA GUERCHE;SUD ESTUAIRE ET LITTORAL - OFFICE DE TOURISME;SNC SAGEC - CINE 32 VEO;FIXE;NON;47.246308, -2.135768;Pays de la Loire;44;44154
377441;ZOOM;PLACE DE L HOTEL DE VILLE;MAISON DES JEUNES ET DE LA CULTURE;;FIXE;NON;47.920147, 0.743555;Pays de la Loire;72;72269
381260;CINEMA CASINO;ROUTE DE BANDOL;LE CINEMA DU SOLEIL;SARL CINEODE;FIXE;NON;43.19174, 5.713725;Provence-Alpes-Côte-d'Azur;83;83112
382552;CINE-QUAI;QUAI LAMARTINE;COMPLEXE CINEMATOGRAPHIQUE MARNAIS;;FIXE;NON;48.640036, 4.95025;Grand-Est;52;52448
385421;CINE GLONNE;GRANDE RUE;CINE GLONNE;;FIXE;NON;47.363746, -1.0164589999999407;Pays de la Loire;49;49244
385491;DELTA;17 BIS PLACE D ARMES;HAUTE AUVERGNE MEDIA;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.03382, 3.095174;Auvergne - Rhône-Alpes;15;15187
386864;LES 4 PERRAY;44/46 AV GABRIEL PERI;CINAEA;;FIXE;NON;48.647712, 2.326708;Ile-de-France;91;91549
386961;LINO VENTURA;3 RUE DE L'EGLISE;ASSOCIATION CINEFOL 31;SNC SAGEC - CINE 32 VEO;FIXE;NON;43.682793, 1.486048;Occitanie;31;31484
387092;JEANNE D ARC;AVENUE DE SAINTES;ARTS ET TECHNIQUES;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.485115, -0.566824;Nouvelle Aquitaine;17;17331
387191;L ATMOSPHERE SALLE A PREJEAN;PLACE PIERRE DESCOTES;ASSOCIATION CINEMA L'ATMOSPHERE;;FIXE;NON;45.599999, 5.633175;Auvergne - Rhône-Alpes;73;73236
387661;JULIEN MAUNOIR;11 AVENUE DES ACACIAS;ASSOCIATION JULIEN MAUNOIR;SAS CINE DIFFUSION;FIXE;NON;48.506874, -1.241635;Bretagne;35;35271
390271;ERMITAGE;RUE SIMON;COMMUNE DE SAINT GOBAIN;SARL CINEODE;FIXE;NON;49.597177, 3.378189;Hauts-de-France;2;2680
390680;SALLE DES FETES;1 PLACE DU 11 NOVEMBRE;CONCEPT ET TECHNIQUE CINEMATOGRAPHIQUE;;ITINERANT;NON;49.7511844, 0.40355909999993855;Nouvelle Aquitaine;33;33417
390793;UGC CINE CITE ATLANTIS;PLACE JEAN BART;UGC CINE CITE;UGC DIFFUSION;FIXE;OUI;47.224381, -1.625621;Pays de la Loire;44;44162
390821;LE TIGRE;PLACE DE LA LIBERTE;AEP CINEMA LE TIGRE;SNC SAGEC - CINE 32 VEO;FIXE;NON;46.556503, -1.061779;Pays de la Loire;85;85223
391951;SELECT CINE;18 RUE HENRI RENAUD;COMMUNE DE SAINT HONORE LES BAINS;;FIXE;NON;46.905158, 3.842831;Bourgogne - Franche-Comté;58;58246
392671;EDEN BOURVIL;6 AVENUE PASTEUR;VEO CINEMAS;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.94953, -0.518149;Nouvelle Aquitaine;17;17347
393293;STAR;137 AV HENRI FALCOZ;SNC GIPPA ET GILBERT;MAURIENNE;FIXE;NON;45.277364, 6.348249;Auvergne - Rhône-Alpes;73;73248
394201;LE VAUBAN;4 RUE RENAUD;GARAZIKUS;SAINT LOUIS;FIXE;NON;43.16402, -1.237591;Nouvelle Aquitaine;64;64485
395463;LE SELECT;CONTIS PLAGE;ASSOCIATION A CONTIS;SNC SAGEC - CINE 32 VEO;FIXE;NON;44.079661, -1.257781;Nouvelle Aquitaine;40;40266
395484;CINEMA ROUGE ET NOIR;7 RUE AMEDEE VIII DE SAVOIE;ALLONS AU CINEMA;SARL MC4 DISTRIBUTION;FIXE;NON;46.144524, 6.080637;Auvergne - Rhône-Alpes;74;74243
396771;LES TRAVAILLEURS SYNDIQUES;RUE JOSEPH NIVET;COMMUNE DE SAINT LAURENT DE CERDANS;CINEMAGINAIRE;FIXE;NON;42.38271, 2.614735;Occitanie;66;66179
396961;LE SAINT LAURENT;4 BIS AVENUE DES CHATAIGNERS;ASSOCIATION LE PARVIS SCENE NATIONALE TARBES PYRENEES;;FIXE;NON;43.08008, 0.480895;Occitanie;65;65389
399686;LE VAUBAN 2- LA GRANDE PASSERELLE;LA GRANDE PASSERELLE;ASSOCIATION CINEMA LE VAUBAN;SAS CINE DIFFUSION;FIXE;NON;48.602575, -2.005943;Bretagne;35;35288
399689;CINE VAUBAN;45 RUE DE LA CROIX DESILLES;CINE VAUBAN;;FIXE;OUI;48.657589, -1.970525;Bretagne;35;35288
399721;LA MALOUINE;LE BOURG;"SOCIETE DE SPORTS ET D  EDUCATION POPULAIRE ""LA MALOUINE"" CINEMA";SAS CINE DIFFUSION;FIXE;NON;47.339858, -2.175644;Pays de la Loire;44;44176
403400;SALLE BARBARA;SALLE BARBARA;CINEVILLAGES;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;ITINERANT;NON;47.434568, -0.703599;Pays de la Loire;49;49306
405772;L'ETOILE;PLACE DE LA REPUBLIQUE;ARTS ET TECHNIQUES;ARTEC;FIXE;NON;44.893791, -0.715027;Nouvelle Aquitaine;33;33449
