geolocalisation;latitude;longitude
48.832888, 2.354241;48.832888;2.354241
48.885067, 2.374123;48.885067;2.374123
48.960956, 2.067774;48.960956;2.067774
44.204567, 0.624721;44.204567;0.624721
43.566091, 4.189267;43.566091;4.189267
44.299994, 0.336667;44.299994;0.336667
43.526103, 5.448686;43.526103;5.448686
41.943558, 8.753935;41.943558;8.753935
43.923796, 2.144604;43.923796;2.144604
48.433552, 0.063775;48.433552;0.063775
48.807586, 2.422346;48.807586;2.422346
42.472951, 2.670403;42.472951;2.670403
49.89407, 2.292451;49.89407;2.292451
49.889445, 2.304933;49.889445;2.304933
48.857505, 1.439036;48.857505;1.439036
45.898226, 6.123792;45.898226;6.123792
45.917017, 6.134075;45.917017;6.134075
46.192243, 6.232615;46.192243;6.232615
46.042963, 6.631059;46.042963;6.631059
45.091845, 1.943901;45.091845;1.943901
46.983737, -0.446514;46.983737;-0.446514
48.590692, 2.250123;48.590692;2.250123
50.29185, 2.780997;50.29185;2.780997
48.9589, 1.855229;48.9589;1.855229
48.910534, 2.384966;48.910534;2.384966
46.623209, -1.427738;46.623209;-1.427738
47.488316, 2.43949;47.488316;2.43949
45.956961, 2.170097;45.956961;2.170097
48.022078, -4.5389;48.022078;-4.5389
45.71712, 3.633074;45.71712;3.633074
43.949433, 4.806281;43.949433;4.806281
47.845691, -1.687075;47.845691;-1.687075
44.169886, 0.285632;44.169886;0.285632
44.387012, 6.653653;44.387012;6.653653
47.542333, -0.107495;47.542333;-0.107495
47.283747, -2.391924;47.283747;-2.391924
49.437982, 2.099627;49.437982;2.099627
49.426913, 2.091861;49.426913;2.091861
44.813225, -0.563936;44.813225;-0.563936
48.369448, 7.595426;48.369448;7.595426
50.408345, 1.593105;50.408345;1.593105
49.090933, 0.602729;49.090933;0.602729
50.521692, 2.641202;50.521692;2.641202
47.590803, 1.335364;47.590803;1.335364
47.612706, 1.336917;47.612706;1.336917
48.90951, 2.436542;48.909510;2.436542
43.974273, 7.312365;43.974273;7.312365
45.295097, 4.558306;45.295097;4.558306
48.778884, 2.317531;48.778884;2.317531
47.28271, 0.171969;47.28271;0.171969
47.281285, 0.171088;47.281285;0.171088
48.0505921, -1.8653428000000076;48.0505921;-1.8653428000000076
48.396163, -4.477034;48.396163;-4.477034
46.629207, -1.852443;46.629207;-1.852443
49.044986, -0.326254;49.044986;-0.326254
48.744007, 7.692978;48.744007;7.692978
48.02898, -1.75349;48.028980;-1.753490
44.275689, 5.27174;44.275689;5.27174
46.610272, 0.367025;46.610272;0.367025
44.636357, -0.320145;44.636357;-0.320145
49.17442, -0.333727;49.17442;-0.333727
43.662147, 7.148711;43.662147;7.148711
43.661565, 7.1357;43.661565;7.1357
48.404288, -3.427185;48.404288;-3.427185
45.797955, 4.866922;45.797955;4.866922
50.174792, 3.236568;50.174792;3.236568
43.550716, 7.001343;43.550716;7.001343
43.54938, 6.981931;43.54938;6.981931
43.550134, 7.029043;43.550134;7.029043
43.546541, 7.036474;43.546541;7.036474
43.235546, 2.367714;43.235546;2.367714
48.283143, -3.572343;48.283143;-3.572343
43.4817151, -0.2803853000000345;43.4817151;-0.2803853000000345
43.680383, 1.534648;43.680383;1.534648
43.606683, 2.243043;43.606683;2.243043
42.88755, -0.114879;42.88755;-0.114879
48.847416, 2.136047;48.847416;2.136047
46.821515, -0.668137;46.821515;-0.668137
46.848712, -1.879118;46.848712;-1.879118
46.781288, 4.850256;46.781288;4.850256
46.775786, 4.864432;46.775786;4.864432
45.923063, 6.86902;45.923063;6.86902
45.454122, 6.692461;45.454122;6.692461
49.191375, 2.464237;49.191375;2.464237
