numCommune;nomCommune;populationCommune;situationGeographique;zoneCommune;numDepartement;nouvelleRegion;numUniteUrbaine
76305;Gonfreville-l'Orcher;9234;04-Unités urbaines de 100 000 hbts ou plus;B;76;Normandie;76701
46128;Gramat;3649;06-autres communes et unités urbaines;I;46;Occitanie;46103
59271;Grande-Synthe;23634;04-Unités urbaines de 100 000 hbts ou plus;B;59;Hauts-de-France;59602
6069;Grasse;50937;04-Unités urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Côte-d'Azur;6701
59273;Gravelines;11586;04-Unités urbaines de 100 000 hbts ou plus;B;59;Hauts-de-France;59602
70279;Gray;5484;06-autres communes et unités urbaines;C;70;Bourgogne - Franche-Comté;70301
38185;Grenoble;160649;04-Unités urbaines de 100 000 hbts ou plus;C;38;Auvergne - Rhône-Alpes;38701
56069;Groix;2262;04-Unités urbaines de 100 000 hbts ou plus;R;56;Bretagne;0
44067;Guémené-Penfao;5231;06-autres communes et unités urbaines;I;44;Pays de la Loire;44122
35125;La Guerche-de-Bretagne;4281;06-autres communes et unités urbaines;C;35;Bretagne;35204
35176;Guipry-Messac;6888;06-autres communes et unités urbaines;B;35;Bretagne;35207
62413;Harnes;12595;04-Unités urbaines de 100 000 hbts ou plus;B;62;Hauts-de-France;756
76351;Le Havre;172366;04-Unités urbaines de 100 000 hbts ou plus;C;76;Normandie;76701
14333;Honfleur;7454;06-autres communes et unités urbaines;C;14;Normandie;363
33203;Hourtin;3490;06-autres communes et unités urbaines;I;33;Nouvelle Aquitaine;33103
95313;L' Isle-Adam;12249;03-Petite couronne;B;95;Ile-de-France;851
31239;L' Isle-en-Dodon;1677;04-Unités urbaines de 100 000 hbts ou plus;R;31;Occitanie;0
6073;Isola;693;04-Unités urbaines de 100 000 hbts ou plus;R;6;Provence-Alpes-Côte-d'Azur;0
63178;Issoire;14564;06-autres communes et unités urbaines;C;63;Auvergne - Rhône-Alpes;63304
92040;Issy-les-Moulineaux;69093;02-Grande Couronne;B;92;Ile-de-France;851
94041;Ivry-sur-Seine;59572;02-Grande Couronne;B;94;Ile-de-France;851
56091;Josselin;2495;06-autres communes et unités urbaines;I;56;Bretagne;56106
84058;Lacoste;409;04-Unités urbaines de 100 000 hbts ou plus;R;84;Provence-Alpes-Côte-d'Azur;0
22093;Lamballe;13465;06-autres communes et unités urbaines;I;22;Bretagne;22301
29103;Landerneau;15746;06-autres communes et unités urbaines;C;29;Bretagne;29308
5070;Laragne-Montéglin;3455;06-autres communes et unités urbaines;C;5;Provence-Alpes-Côte-d'Azur;5104
6075;Levens;4741;06-autres communes et unités urbaines;I;6;Provence-Alpes-Côte-d'Azur;6108
59350;Lille;232741;04-Unités urbaines de 100 000 hbts ou plus;C;59;Hauts-de-France;59702
76384;Lillebonne;8963;05-Unités urbaines de 20 000 à 100 000 hbts;C;76;Normandie;76402
14366;Lisieux;20771;05-Unités urbaines de 20 000 à 100 000 hbts;C;14;Normandie;14401
39300;Lons-le-Saunier;17459;05-Unités urbaines de 20 000 à 100 000 hbts;C;39;Bourgogne - Franche-Comté;39401
83072;Lorgues;9042;06-autres communes et unités urbaines;C;83;Provence-Alpes-Côte-d'Azur;83303
22136;Loudéac;9615;06-autres communes et unités urbaines;I;22;Bretagne;22205
65282;Loudenvielle;286;04-Unités urbaines de 100 000 hbts ou plus;R;65;Occitanie;0
71263;Louhans;6354;06-autres communes et unités urbaines;C;71;Bourgogne - Franche-Comté;71301
83073;Le Luc;10821;06-autres communes et unités urbaines;C;83;Provence-Alpes-Côte-d'Azur;83307
14384;Luc-sur-Mer;3171;06-autres communes et unités urbaines;C;14;Normandie;14302
70310;Lure;8253;06-autres communes et unités urbaines;C;70;Bourgogne - Franche-Comté;70302
69123;Lyon;513275;04-Unités urbaines de 100 000 hbts ou plus;C;69;Auvergne - Rhône-Alpes;758
69123;Lyon;513275;04-Unités urbaines de 100 000 hbts ou plus;C;69;Auvergne - Rhône-Alpes;758
44087;Machecoul-Saint-Même;7341;06-autres communes et unités urbaines;I;44;Pays de la Loire;44202
92046;Malakoff;29897;02-Grande Couronne;B;92;Ile-de-France;851
72181;Le Mans;143325;04-Unités urbaines de 100 000 hbts ou plus;C;72;Pays de la Loire;72701
78361;Mantes-la-Jolie;44799;03-Petite couronne;B;78;Ile-de-France;851
91363;Marcoussis;8132;03-Petite couronne;B;91;Ile-de-France;851
13055;Marseille;861635;04-Unités urbaines de 100 000 hbts ou plus;C;13;Provence-Alpes-Côte-d'Azur;759
91377;Massy;48363;03-Petite couronne;B;91;Ile-de-France;851
35168;Val d'Anast;3908;04-Unités urbaines de 100 000 hbts ou plus;R;35;Bretagne;0
66107;Maury;802;04-Unités urbaines de 100 000 hbts ou plus;R;66;Occitanie;0
32249;Mauvezin;2149;04-Unités urbaines de 100 000 hbts ou plus;R;32;Occitanie;0
77284;Meaux;53720;03-Petite couronne;C;77;Ile-de-France;77501
79174;Melle;3607;06-autres communes et unités urbaines;C;79;Nouvelle Aquitaine;79203
80533;Mers-les-Bains;2840;05-Unités urbaines de 20 000 à 100 000 hbts;B;80;Hauts-de-France;453
60395;Méru;14703;06-autres communes et unités urbaines;I;60;Hauts-de-France;60302
95394;Méry-sur-Oise;9531;03-Petite couronne;B;95;Ile-de-France;851
74010;Annecy;125694;04-Unités urbaines de 100 000 hbts ou plus;C;74;Auvergne - Rhône-Alpes;74601
12145;Millau;22234;05-Unités urbaines de 20 000 à 100 000 hbts;C;12;Occitanie;12401
32256;Mirande;3483;06-autres communes et unités urbaines;C;32;Occitanie;32105
29150;Moëlan-sur-Mer;6874;06-autres communes et unités urbaines;I;29;Bretagne;29206
24294;Montpon-Ménestérol;5466;06-autres communes et unités urbaines;C;24;Nouvelle Aquitaine;354
47179;Monsempron-Libos;2093;06-autres communes et unités urbaines;B;47;Nouvelle Aquitaine;47302
77298;Mons-en-Montois;463;03-Petite couronne;R;77;Ile-de-France;0
85146;Montaigu;5180;06-autres communes et unités urbaines;C;85;Pays de la Loire;85302
45208;Montargis;14254;05-Unités urbaines de 20 000 à 100 000 hbts;C;45;Centre - Val-de-Loire;45501
