numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune;nomCommune
81311;SALLE LUX;PLACE DU CHATEAU;LE PARADIS;SNC SAGEC - CINE 32 VEO;FIXE;NON;44.636357, -0.320145;Nouvelle Aquitaine;33;33081;Cadillac
81414;SALLE PIERRE DAURE;UNIVERSITE DE CAEN;AEP CINEMA LUX;;FIXE;NON;49.17442, -0.333727;Normandie;14;14118;Caen
81541;ESPACE  CENTRE;5 AV DE VERDUN;CAGNES CONGRES;;FIXE;NON;43.662147, 7.148711;Provence-Alpes-Cote-d'Azur;6;6027;Cagnes-sur-Mer
81545;CGR POLYGONE RIVIERA;AVENUE DES ALPES;CAP CINEMA CAGNES SUR MER;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;43.661565, 7.1357;Provence-Alpes-Cote-d'Azur;6;6027;Cagnes-sur-Mer
82392;CINEMA D ARGOAT;4 RUE DU CLEUMEUR;ASSOCIATION LA BELLE EQUIPE;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;FIXE;NON;48.404288, -3.427185;Bretagne;22;22025;Callac
82603;SALLE MELIES;67 CHEMIN DE VASSIEUX;CALUIRE PAROISSES;GROUPEMENT DES SALLES FAMILIALES DE LYON (GSF);FIXE;NON;45.797955, 4.866922;Auvergne - Rhone-Alpes;69;69034;Caluire-et-Cuire
83071;LE PALACE;17 RUE ML DE LATTRE DE TASSIGNY;LE PALACE;UGC DIFFUSION;FIXE;NON;50.174792, 3.236568;Hauts-de-France;59;59122;Cambrai
84734;STUDIO 13;23 AV DU DOCTEUR PICAUD;MJC DE CANNES PICAUD;;FIXE;NON;43.550716, 7.001343;Provence-Alpes-Cote-d'Azur;6;6029;Cannes
84774;PROSPER MERIMEE;25 AVENUE FRANCIS TOMER;CANNES CINEMA;;FIXE;NON;43.54938, 6.981931;Provence-Alpes-Cote-d'Azur;6;6029;Cannes
84781;MIRAMAR;RUE PASTEUR - ANGLE CROISETTE;CANNES CINEMA;;FIXE;NON;43.550134, 7.029043;Provence-Alpes-Cote-d'Azur;6;6029;Cannes
84782;ALEXANDRE III;19 BD ALEXANDRE III;CANNES CINEMA;;FIXE;NON;43.546541, 7.036474;Provence-Alpes-Cote-d'Azur;6;6029;Cannes
86103;CGR CARCASSONNE;ZONE DU PONT ROUGE;CAP  CINEMA  CARCASSONNE;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;43.235546, 2.367714;Occitanie;11;11069;Carcassonne
86353;LE GRAND BLEU;CENTRE CULTUREL;ASSOCIATION CONTRECHAMP;SAS CINE DIFFUSION;FIXE;NON;48.283143, -3.572343;Bretagne;29;29024;Carhaix-Plouguer
86860;SALLE MULTISERVICE;1 ROUTE DEPARTEMENTALE 42;ASSOCIATION BEARN ADOUR TOURISME ET LOISIRS;SAINT LOUIS;ITINERANT;NON;43.4817151, -0.2803853000000345;Nouvelle Aquitaine;64;64167;Carrere
88111;LE MELIES;LE BEZINAT;ASSOCIATION CINEFOL 31;SNC SAGEC - CINE 32 VEO;FIXE;NON;43.680383, 1.534648;Occitanie;31;31117;Castelmaurou
89105;CGR CASTRES;24 QUAI MIREDAMES;SOCIETE D'EXPLOITATION CINEMATOGRAPHIQUE;SARL LES FILMS DE LA ROCHELLE;FIXE;NON;43.606683, 2.243043;Occitanie;81;81065;Castres
90191;CASINO;ESPLANADE DES OEUFS;SOCIETE D' EXPLOITATION DES CASINOS PYREEENS;;FIXE;NON;42.88755, -0.114879;Occitanie;65;65138;Cauterets
91492;CINEMA DU THEATRE;8 AVENUE CHARLES DE GAULLE;VILLE DE LA CELLE SAINT CLOUD;;FIXE;NON;48.847416, 2.136047;Ile-de-France;78;78126;La Celle-Saint-Cloud
92441;7EME ART;PLACE DE LA MAIRIE;ASSOCIATION CINEMA DU BOCAGE;SUD CINE;FIXE;NON;46.821515, -0.668137;Nouvelle Aquitaine;79;79062;Cerizay
94743;CLUB;1 RUE MONTORCY;SECIM;SNC SAGEC - CINE 32 VEO;FIXE;NON;46.848712, -1.879118;Pays de la Loire;85;85047;Challans
